city08,comb08,cylinders,displ,fuelType,highway08,make,model,trany,VClass,year
city MPG,combined MPG,engine cylinders,engine displacement in liters,fuel type,highway MPG,manufacturer,model name,transmission descriptor,EPA vehicle size class,model year
12,14,8,6.2,Premium,19,GMC,Yukon 1500 2WD,Automatic 6-spd,Sport Utility Vehicle - 2WD,2008
21,21,8,6,Regular,22,GMC,Yukon 1500 Hybrid 2WD,Automatic (variable gear ratios),Sport Utility Vehicle - 2WD,2008
12,14,8,6.2,Premium,19,GMC,Yukon XL 1500 2WD,Automatic 6-spd,Sport Utility Vehicle - 2WD,2008
20,22,4,2.4,Regular,25,Mitsubishi,Outlander 2WD,Automatic (variable gear ratios),Sport Utility Vehicle - 2WD,2008
25,28,4,2.4,Regular,32,Saturn,Vue Hybrid,Automatic 4-spd,Sport Utility Vehicle - 2WD,2008
20,20,8,6,Regular,20,Chevrolet,Tahoe Hybrid 4WD,Automatic (variable gear ratios),Sport Utility Vehicle - 4WD,2008
20,20,8,6,Regular,20,GMC,Yukon 1500 Hybrid 4WD,Automatic (variable gear ratios),Sport Utility Vehicle - 4WD,2008
20,22,4,2.4,Regular,25,Mitsubishi,Outlander 4WD,Automatic (variable gear ratios),Sport Utility Vehicle - 4WD,2008
13,15,8,4.8,Premium,18,Porsche,Cayenne GTS,Automatic 6-spd,Sport Utility Vehicle - 4WD,2008
11,13,8,4.8,Premium,17,Porsche,Cayenne GTS,Manual 6-spd,Sport Utility Vehicle - 4WD,2008
28,32,4,1.6,Premium,37,MINI,Cooper,Manual 6-spd,Minicompact Cars,2008
26,29,4,1.6,Premium,34,MINI,Cooper,Automatic (S6),Minicompact Cars,2008
26,29,4,1.6,Premium,34,MINI,Cooper S,Manual 6-spd,Minicompact Cars,2008
23,27,4,1.6,Premium,32,MINI,Cooper S,Automatic (S6),Minicompact Cars,2008
16,20,6,3.2,Premium,27,Audi,A5 quattro,Manual 6-spd,Subcompact Cars,2008
18,21,6,3.2,Premium,27,Audi,A5 quattro,Automatic (S6),Subcompact Cars,2008
28,32,4,1.6,Premium,37,MINI,Clubman,Manual 6-spd,Subcompact Cars,2008
26,29,4,1.6,Premium,34,MINI,Clubman,Automatic (S6),Subcompact Cars,2008
26,29,4,1.6,Premium,34,MINI,Clubman S,Manual 6-spd,Subcompact Cars,2008
23,27,4,1.6,Premium,32,MINI,Clubman S,Automatic (S6),Subcompact Cars,2008
21,23,4,2.4,Regular,25,Jeep,Compass 2WD,Automatic (variable gear ratios),Sport Utility Vehicle - 2WD,2008
21,23,4,2.4,Regular,25,Jeep,Patriot 2WD,Automatic (variable gear ratios),Sport Utility Vehicle - 2WD,2008
33,36,3,1,Premium,41,smart,fortwo convertible,Automatic (S5),Two Seaters,2008
33,36,3,1,Premium,41,smart,fortwo coupe,Automatic (S5),Two Seaters,2008
16,19,8,4.2,Premium,22,Audi,S5,Automatic (S6),Subcompact Cars,2008
18,21,6,3,Premium,28,BMW,128i,Manual 6-spd,Subcompact Cars,2008
19,22,6,3,Premium,28,BMW,128i,Automatic (S6),Subcompact Cars,2008
18,21,6,3,Premium,28,BMW,128i Convertible,Manual 6-spd,Subcompact Cars,2008
18,21,6,3,Premium,27,BMW,128i Convertible,Automatic (S6),Subcompact Cars,2008
17,20,6,3,Premium,25,BMW,135i,Manual 6-spd,Subcompact Cars,2008
18,21,6,3,Premium,26,BMW,135i,Automatic (S6),Subcompact Cars,2008
17,20,6,3,Premium,26,BMW,135i Convertible,Manual 6-spd,Subcompact Cars,2008
17,20,6,3,Premium,26,BMW,135i Convertible,Automatic (S6),Subcompact Cars,2008
14,16,8,4,Premium,20,BMW,M3 Coupe,Manual 6-spd,Subcompact Cars,2008
16,18,8,5,Premium,23,Lexus,IS F,Automatic (S8),Subcompact Cars,2008
14,16,8,4,Premium,20,BMW,M3,Manual 6-spd,Compact Cars,2008
16,18,4,2,Premium,22,Mitsubishi,Lancer Evolution,Manual 5-spd,Compact Cars,2008
17,19,4,2,Premium,22,Mitsubishi,Lancer Evolution,Automatic (S6),Compact Cars,2008
24,27,4,1.8,Regular,30,Saturn,Astra 2DR Hatchback,Automatic 4-spd,Compact Cars,2008
24,27,4,1.8,Regular,32,Saturn,Astra 2DR Hatchback,Manual 5-spd,Compact Cars,2008
24,27,4,1.8,Regular,30,Saturn,Astra 4DR Hatchback,Automatic 4-spd,Compact Cars,2008
24,27,4,1.8,Regular,32,Saturn,Astra 4DR Hatchback,Manual 5-spd,Compact Cars,2008
17,20,6,3.6,Regular,25,Pontiac,G8,Automatic (S5),Large Cars,2008
17,19,6,3.5,Premium,24,Infiniti,EX35,Automatic (S5),Small Station Wagons,2008
16,19,6,3.5,Premium,23,Infiniti,EX35,Automatic (S5),Small Station Wagons,2008
11,13,8,5.4,Premium,15,Tecstar LP,Foose F150 Regular Cab 2WD,Automatic 4-spd,Standard Pickup Trucks 2WD,2008
11,13,8,5.4,Premium,15,Tecstar LP,Foose F150 Super Cab 2WD,Automatic 4-spd,Standard Pickup Trucks 2WD,2008
11,13,8,5.4,Premium,15,Tecstar LP,Foose F150 Super Crew 2WD,Automatic 4-spd,Standard Pickup Trucks 2WD,2008
11,13,8,5.4,Premium,15,Tecstar LP,Foose F150 Regular Cab 4WD,Automatic 4-spd,Standard Pickup Trucks 4WD,2008
11,13,8,5.4,Premium,15,Tecstar LP,Foose F150 Super Cab 4WD,Automatic 4-spd,Standard Pickup Trucks 4WD,2008
11,13,8,5.4,Premium,15,Tecstar LP,Foose F150 Super Crew 4WD,Automatic 4-spd,Standard Pickup Trucks 4WD,2008
14,16,8,4,Premium,20,Tecstar LP,M3 Convertible,Automatic (S7),Subcompact Cars,2008
13,16,8,4,Premium,19,BMW,M3 Convertible,Manual 6-spd,Subcompact Cars,2008
14,16,8,4,Premium,20,BMW,M3 Coupe,Automatic (S7),Subcompact Cars,2008
